Pokemon,Pokedex,Type.1,Type.2,Avg.CP.per.Power.Up,Max.CP,Rarity,Capture,Flee,Stamina,Attack,Defense,Family,Stage,Total.Stages,Evolved.From,Candy.it.Took,Evolves.to,Candy.to.Evolve
Pidgey,#016,Normal,Flying,8.5,679,18.68,40,20,80,94,90,Pidgey,1,3,,,Pidgeotto,12
Pidgeotto,#017,Normal,Flying,16,1223,1.15,20,9,126,126,122,Pidgey,2,3,Pidgey,12,Pidgeot,50
Pidgeot,#018,Normal,Flying,28,2091,0.26,10,6,166,170,166,Pidgey,3,3,Pideotto,62,,
Rattata,#019,Normal,,7.2,581,13.13,40,20,60,92,86,Rattata,1,2,,,Raticate,25
Raticate,#020,Normal,,19,1444,0.23,16,7,110,146,150,Rattata,2,2,Rattata,25,,
Spearow,#021,Normal,Flying,8.6,686,3.78,40,15,80,102,78,Spearow,1,2,,,Fearow,50
Fearow,#022,Normal,Flying,23.2,1746,0.2,16,7,130,168,146,Spearow,2,2,Spearow,50,,
Ekans,#023,Poison,,10.5,824,2.47,40,15,70,112,112,Ekans,1,2,,,Arbok,50
Arbok,#024,Poison,,23.5,1767,0.2,16,7,120,166,166,Ekans,2,2,Ekans,50,,
Pikachu,#025,Electric,,11.3,887,0.2,16,10,70,124,108,Pikachu,1,2,,,Raichu,50
Raichu,#026,Electric,,27.1,2028,0.01,8,6,120,200,154,Pikachu,2,2,Pikachu,50,,
Sandshrew,#027,Ground,,10.1,798,1.12,40,10,100,90,114,Sandshrew,1,2,,,Sandslash,50
Sandslash,#028,Ground,,24.1,1810,0.2,16,6,150,150,172,Sandshrew,2,2,Sandshrew,50,,
Nidoran-F,#029,Poison,,11.2,876,1.58,40,15,92,110,94,Nidoran-F,1,3,,,Nidorina,25
Nidorina,#030,Poison,,18.4,1404,0.2,20,7,140,132,136,Nidoran-F,2,3,Nidoran-F,25,Nidoqueen,100
Nidoqueen,#031,Poison,Ground,33.5,2485,0.01,10,5,180,184,190,Nidoran-F,3,3,Nidorina,125,,
Nidoran-M,#032,Poison,,10.7,843,1.35,40,15,110,100,104,Nidoran-M,1,3,,,Nidorino,25
Nidorino,#033,Poison,,18,1372,0.2,20,7,122,142,128,Nidoran-M,2,3,Nidoran-M,25,Nidoking,100
Nidoking,#034,Poison,Ground,33.3,2475,0.01,10,5,162,204,170,Nidoran-M,3,3,Nidorino,125,,
Clefairy,#035,Fairy,,15.6,1200,1.51,24,10,140,116,124,Clefairy,1,2,,,Clefable,50
Clefable,#036,Fairy,,32.3,2397,0.01,8,6,190,178,178,Clefairy,2,2,Clefairy,50,,
Vulpix,#037,Fire,,10.6,831,0.2,24,10,76,106,118,Vulpix,1,2,,,Ninetales,50
Ninetales,#038,Fire,,29.3,2188,0.01,8,6,146,176,194,Vulpix,2,2,Vulpix,50,,
Jigglypuff,#039,Normal,Fairy,11.6,917,0.33,40,10,230,98,54,Jigglypuff,1,2,,,Wigglytuff,50
Wigglytuff,#040,Normal,Fairy,29.1,2177,0.01,16,6,280,168,108,Jigglypuff,2,2,Jiggypuff,50,,
Zubat,#041,Poison,Flying,8,642,17.27,40,20,80,88,90,Zubat,1,2,,,Golbat,50
Golbat,#042,Poison,Flying,25.6,1921,0.66,16,7,150,164,164,Zubat,2,2,Zubat,50,,
Oddish,#043,Grass,Poison,14.9,1148,1.22,48,15,90,134,130,Oddish,1,3,,,Gloom,25
Gloom,#044,Grass,Poison,22.4,1689,0.2,24,7,120,162,158,Oddish,2,3,Oddish,25,Vileplume,100
Vileplume,#045,Grass,Poison,33.6,2492,0.01,12,5,150,202,190,Oddish,3,3,Gloom,125,,
Paras,#046,Bug,Grass,11.7,916,2.57,32,15,70,122,120,Paras,1,2,,,Parasect,50
Parasect,#047,Bug,Grass,23.2,1747,0.2,16,7,120,162,170,Paras,2,2,Paras,50,,
Venonat,#048,Bug,Poison,13.3,1029,3.26,40,15,120,108,118,Venonat,1,2,,,Venomoth,50
Venomoth,#049,Bug,Poison,25.2,1890,0.2,16,7,140,172,154,Venonat,2,2,Venonat,50,,
Diglett,#050,Ground,,5.3,456,0.3,40,10,20,108,86,Diglett,1,2,,,Dugtrio,50
Dugtrio,#051,Ground,,15.1,1168,0.01,16,6,70,148,140,Diglett,2,2,Diglett,50,,
Meowth,#052,Normal,,9.6,756,0.39,40,15,80,104,94,Meowth,1,2,,,Persian,50
Persian,#053,Normal,,21.6,1631,0.2,16,7,130,156,146,Meowth,2,2,Meowth,50,,
Psyduck,#054,Water,,14.4,1109,0.76,40,10,100,132,112,Psyduck,1,2,,,Golduck,50
Golduck,#055,Water,,32.1,2386,0.2,16,6,160,194,176,Psyduck,2,2,Psyduck,50,,
Mankey,#056,Fighting,,11.2,878,0.63,40,10,80,122,96,Mankey,1,2,,,Primeape,50
Primeape,#057,Fighting,,24.8,1864,0.01,16,6,130,178,150,Mankey,2,2,Mankey,50,,
Growlithe,#058,Fire,,17.5,1335,0.92,24,10,110,156,110,Growlithe,1,2,,,Arcanine,50
Arcanine,#059,Fire,,40.5,2983,0.01,8,6,180,230,180,Growlithe,2,2,Growlithe,50,,
Poliwag,#060,Water,,10.1,795,1.22,40,15,80,108,98,Poliwag,1,3,,,Poliwhirl,25
Poliwhirl,#061,Water,,17.6,1340,0.2,20,7,130,132,132,Poliwag,2,3,Poliwag,25,Poliwrath,100
Poliwrath,#062,Water,Fighting,33.8,2505,0.01,10,5,180,180,202,Poliwag,3,3,Poliwhirl,125,,
Abra,#063,Psychic,,7.4,600,0.36,40,99,50,110,76,Abra,1,3,,,Kadabra,25
Kadabra,#064,Psychic,,14.6,1131,0.01,20,7,80,150,112,Abra,2,3,Abra,25,Alakazam,100
Alakazam,#065,Psychic,,24.1,1813,0.01,10,5,110,186,152,Abra,3,3,Kadabra,125,,
Machop,#066,Fighting,,14.1,1089,0.46,40,10,140,118,96,Machop,1,3,,,Machoke,25
Machoke,#067,Fighting,,23.4,1760,0.01,20,7,160,154,144,Machop,2,3,Machop,25,Machamp,100
Machamp,#068,Fighting,,35,2594,0.01,10,5,180,198,180,Machop,3,3,Machoke,125,,
Bellsprout,#069,Grass,Poison,14.4,1117,1.64,40,15,100,158,78,Bellsprout,1,3,,,Weepinbell,25
Weepinbell,#070,Grass,Poison,22.8,1723,0.2,20,7,130,190,110,Bellsprout,2,3,Bellsprout,25,Victreebel,100
Victreebel,#071,Grass,Poison,34.1,2530,0.01,10,5,160,222,152,Bellsprout,3,3,Weepinbell,125,,
Tentacool,#072,Water,Poison,11.6,905,0.33,40,15,80,106,136,Tentacool,1,2,,,Tentacruel,50
Tentacruel,#073,Water,Poison,29.8,2220,0.2,16,7,160,170,196,Tentacool,2,2,Tentacool,50,,
Geodude,#074,Rock,Ground,10.8,849,0.95,40,10,80,106,118,Geodude,1,3,,,Graveler,25
Graveler,#075,Rock,Ground,18.8,1433,0.2,20,7,110,142,156,Geodude,2,3,Geodude,25,Golem,100
Golem,#076,Rock,Ground,30.9,2303,0.01,10,5,160,176,198,Geodude,3,3,Graveler,125,,
Ponyta,#077,Fire,,20,1516,0.46,32,10,100,168,138,Ponyta,1,2,,,Rapidash,50
Rapidash,#078,Fire,,29.5,2199,0.01,12,6,130,200,170,Ponyta,2,2,Ponyta,50,,
Slowpoke,#079,Water,Psychic,15.9,1218,0.23,40,10,180,110,110,Slowpoke,1,2,,,Slowbro,50
Slowbro,#080,Water,Psychic,35.1,2597,0.01,16,6,190,184,198,Slowpoke,2,2,Slowpoke,50,,
Magnemite,#081,Electric,Steel,11.3,890,0.3,40,10,50,128,138,Magnemite,1,2,,,Magneton,50
Magneton,#082,Electric,Steel,25,1879,0.01,16,6,100,186,180,Magnemite,2,2,Magnemite,50,,
Farfetch'd,#083,Normal,Flying,16.5,1263,0.01,24,9,104,138,132,Farfetch'd,1,1,,,,
Doduo,#084,Normal,Flying,10.9,855,5.49,40,10,70,126,96,Doduo,1,2,,,Dodrio,50
Dodrio,#085,Normal,Flying,24.4,1836,0.2,16,6,120,182,150,Doduo,2,2,Doduo,50,,
Seel,#086,Water,,14.3,1107,0.01,40,9,130,104,138,Seel,1,2,,,Dewgong,50
Dewgong,#087,Water,Ice,28.7,2145,0.01,16,6,180,156,192,Seel,2,2,Seel,50,,
Grimer,#088,Poison,,16.8,1284,0.01,40,10,160,124,110,Grimer,1,2,,,Muk,50
Muk,#089,Poison,,35.1,2602,0.01,16,6,210,180,188,Grimer,2,2,Grimer,50,,
Shellder,#090,Water,,10.4,822,0.2,40,10,60,120,112,Shellder,1,2,,,Cloyster,50
Cloyster,#091,Water,Ice,27.4,2052,0.01,16,6,100,196,196,Shellder,2,2,Shellder,50,,
Gastly,#092,Ghost,Poison,10.1,804,0.01,32,10,60,136,82,Gastly,1,3,,,Haunter,25
Haunter,#093,Ghost,Poison,18,1380,0.01,16,7,90,172,118,Gastly,2,3,Gastly,25,Gengar,100
Gengar,#094,Ghost,Poison,27.8,2078,0.01,8,5,120,204,156,Gastly,3,3,Haunter,125,,
Onix,#095,Rock,Ground,10.9,857,0.01,16,9,70,90,186,Onix,1,1,,,,
Drowzee,#096,Psychic,,13.9,1075,0.01,40,10,120,104,140,Drowzee,1,2,,,Hypno,50
Hypno,#097,Psychic,,29.3,2184,0.01,16,6,170,162,196,Drowzee,2,2,Drowzee,50,,
Krabby,#098,Water,,10,792,0.01,40,15,60,116,110,Krabby,1,2,,,Kingler,50
Kingler,#099,Water,,24.2,1823,0.01,16,7,110,178,168,Krabby,2,2,Krabby,50,,
Voltorb,#100,Electric,,10.7,839,0.01,40,10,80,102,124,Voltorb,1,2,,,Electrode,50
Electrode,#101,Electric,,21.8,1646,0.01,16,6,120,150,174,Voltorb,2,2,Voltorb,50,,
Exeggcute,#102,Grass,Psychic,14.2,1099,0.01,40,10,120,110,132,Exeggcute,1,2,,,Exeggutor,50
Exeggutor,#103,Grass,Psychic,40.1,2955,0.01,16,6,190,232,164,Exeggcute,2,2,Exeggcute,50,,
Cubone,#104,Ground,,13,1006,0.01,32,10,100,102,150,Cubone,1,2,,,Marowak,50
Marowak,#105,Ground,,21.9,1656,0.01,12,6,120,140,202,Cubone,2,2,Cubone,50,,
Hitmonlee,#106,Fighting,,19.6,1492,0.01,16,9,100,148,172,Hitmonlee,1,1,,,,
Hitmonchan,#107,Fighting,,19.9,1516,0.01,16,9,100,138,204,Hitmonchan,1,1,,,,
Lickitung,#108,Normal,,21.5,1626,0.01,16,9,180,126,160,Lickitung,1,1,,,,
Koffing,#109,Poison,,14.9,1151,0.01,40,10,80,136,142,Koffing,1,2,,,Weezing,50
Weezing,#110,Poison,,30.2,2250,0.01,16,6,130,190,198,Koffing,2,2,Koffing,50,,
Rhyhorn,#111,Ground,Rock,15.4,1182,0.01,40,10,160,110,116,Rhyhorn,1,2,,,Rhydon,50
Rhydon,#112,Ground,Rock,30.1,2243,0.01,16,6,210,166,160,Rhyhorn,2,2,Rhyhorn,50,,
Chansey,#113,Normal,,8,675,0.01,16,9,500,40,60,Chansey,1,1,,,,
Tangela,#114,Grass,,23.1,1739,0.01,32,9,130,164,152,Tangela,1,1,,,,
Kangaskhan,#115,Normal,,27.3,2043,0.01,16,9,210,142,178,Kangaskhan,1,2,,,,
Horsea,#116,Water,,10,794,0.01,40,10,60,122,100,Horsea,1,2,,,Seadra,50
Seadra,#117,Water,,22.7,1713,0.01,16,6,110,176,150,Horsea,2,2,Horsea,50,,
Goldeen,#118,Water,,12.4,965,0.01,40,15,90,112,126,Goldeen,1,2,,,Seaking,50
Seaking,#119,Water,,27.3,2043,0.01,16,7,160,172,160,Goldeen,2,2,Goldeen,50,,
Staryu,#120,Water,,12,937,0.01,40,15,60,130,128,Staryu,1,2,,,Starmie,50
Starmie,#121,Water,Psychic,29.2,2182,0.01,16,6,120,194,192,Staryu,2,2,Staryu,50,,
Mr. Mime,#122,Psychic,Fairy,19.6,1494,0.01,24,9,80,154,196,Mr. Mime,1,1,,,,
Scyther,#123,Bug,Flying,27.7,2073,0.01,24,9,140,176,180,Scyther,1,1,,,,
Jynx,#124,Ice,Psychic,22.8,1716,0.01,24,9,130,172,134,Jynx,1,1,,,,
Electabuzz,#125,Electric,,28.3,2119,0.01,24,9,130,198,160,Electabuzz,1,1,,,,
Magmar,#126,Fire,,30.4,2265,0.01,24,9,130,214,158,Magmar,1,1,,,,
Pinsir,#127,Bug,,28.4,2121,0.01,24,9,130,184,186,Pinsir,1,1,,,,
Tauros,#128,Normal,,24.5,1844,0.01,24,9,150,148,184,Tauros,1,1,,,,
Magikarp,#129,Water,,3,262,0.07,56,15,40,42,84,Magikarp,1,2,,,Gyarados,400
Gyarados,#130,Water,Flying,36.4,2688,0.01,8,7,190,192,196,Magikarp,2,2,Magikarp,400,,
Lapras,#131,Water,Ice,40.4,2980,0.01,16,9,260,186,190,Lapras,1,1,,,,
Ditto,#132,Normal,,11.8,919,0.01,16,10,96,110,110,Ditto,1,1,,,,
Eevee,#133,Normal,,13.9,1077,0.01,32,10,110,114,128,Eevee,1,2,,,,
Vaporeon,#134,Water,,38.1,2816,0.01,12,6,260,186,168,Eevee,2,2,,,,
Jolteon,#135,Electric,,28.6,2140,0.01,12,6,130,192,174,Eevee,2,2,,,,
Flareon,#136,Fire,,35.6,2643,0.01,12,6,130,238,178,Eevee,2,2,,,,
Porygon,#137,Normal,,22.4,1691,0.01,32,9,130,156,158,Porygon,1,1,,,,
Omanyte,#138,Rock,Water,14.4,1119,0.01,32,9,70,132,160,Omanyte,1,2,,,Omastar,50
Omastar,#139,Rock,Water,30,2233,0.01,12,5,140,180,202,Omanyte,2,2,Omanyte,50,,
Kabuto,#140,Rock,Water,14.2,1104,0.01,32,9,60,148,142,Kabuto,1,2,,,Kabutops,50
Kabutops,#141,Rock,Water,28.5,2130,0.01,12,5,120,190,190,Kabuto,2,2,Kabuto,50,,
Aerodactyl,#142,Rock,Flying,29,2165,0.01,16,9,160,182,162,Aerodactyl,1,1,,,,
Snorlax,#143,Normal,,42.2,3112,0.01,16,9,320,180,180,Snorlax,1,1,,,,
Articuno,#144,Ice,Flying,40.4,2978,0,0,10,180,198,242,Articuno,1,1,,,,
Zapdos,#145,Electric,Flying,42.3,3114,0,0,10,180,232,194,Zapdos,1,1,,,,
Moltres,#146,Fire,Flying,44.1,3240,0,0,10,180,242,194,Moltres,1,1,,,,
Dratini,#147,Dragon,,12.6,983,0.01,32,9,82,128,110,Dratini,1,3,,,Dragonair,25
Dragonair,#148,Dragon,,23.2,1747,0.01,8,6,122,170,152,Dratini,2,3,Dratini,25,Dragonite,100
Dragonite,#149,Dragon,Flying,47.7,3500,0.01,4,5,182,250,212,Dratini,3,3,Dragonair,125,,
Mewtwo,#150,Psychic,,56.8,4144,0,0,10,212,284,202,Mewtwo,1,1,,,,
Mew,#151,Psychic,,44.9,3299,0,0,10,200,220,220,Mew,1,1,,,,
